"userid","dbid","query","queryid","mean_exec_time","shared_blk_read_time","shared_blk_write_time"
"searchagent_user",24577,"INSERT INTO flattened_embedding (vector_embedding,","-1386426994544112624","29.42902501538462","0.205125","43.748853"
"searchagent_user",24577,"INSERT INTO embedding (vector_embedding, last_modi","-6589407175516613203","7.681027553846154","1.061","15.301461999999997"
"friedahuang",24577,"CREATE INDEX CONCURRENTLY flattened_embedding_inde","-6166790910303742347","2929.401875","0","5.82445"
"searchagent_user",24577,"INSERT INTO flattened_embedding (vector_embedding,","7330261002774462029","0.6163435076923077","0","1.744464"
"searchagent_user",24577,"INSERT INTO folder (folder_name, folder_path, crea","4448382180075968180","0.1618025692307692","0","0.704791"
"searchagent_user",24577,"INSERT INTO query (text, vector_embedding, created","2553928148851168420","1.124","0.406416","0.049"
"searchagent_user",24577,"INSERT INTO page (page_number, text_content, binar","-701007646965123925","0.07433776923076922","0.264666","0.087417"
"searchagent_user",24577,"INSERT INTO file (filename, filepath, filetype, to","-8618816900476516531","0.20880533333333334","0","0.173958"
"searchagent_user",24577,"SELECT file.id, file.filename, file.filepath, file","-676052553025704055","0.010180861538461537","0","0"
"searchagent_user",24577,"ANALYZE folder","7879598175103444964","0.208042","0","0"
